"query","search interest","increase percent"
"máy photocopy",2,"Breakout"
"vps giá rẻ",2,"Breakout"
"máy photocopy tnt",1,"300%"
"tour du lịch vĩnh hy",8,"90%"
"tour du lịch nga",11,"80%"
"du lịch nga",11,"70%"
"tour du lịch miền tây 3 ngày 2 đêm",4,"50%"
"tour thượng hải",18,"50%"
"booking",6,"40%"
"du lịch thiên nhiên",4,"30%"
"tour du lịch đà nẵng 3 ngày 2 đêm",9,"30%"
"tour du lịch ninh bình 2 ngày 1 đêm",4,"30%"
"tour du lịch việt nam",50,"20%"
"tour quảng bình",18,"20%"
"tour du lịch hà giang",22,"20%"
"du lịch quảng bình",18,"20%"
"du lịch hà giang",21,"20%"
"du lịch phú quốc",35,"20%"
"tour du lịch phú quốc",35,"20%"
"tour du lịch đà nẵng",73,"20%"
"tour đà nẵng",73,"20%"
"du lịch đà nẵng",73,"20%"
"tour phú quốc",35,"20%"
"tour miền tây 1 ngày",8,"20%"
"pys travel",2,"20%"
"tour du lịch quảng bình",18,"20%"
"du lịch việt",76,"20%"
"tour hongkong",5,"10%"
"công ty du lịch",88,"10%"
"đặt tour du lịch",28,"10%"
"tour du lịch ninh bình",23,"10%"
"du lịch ninh bình",23,"10%"
"tour trung quốc",90,"9%"
"tour du lịch trung quốc",90,"8%"
"tour du lịch dubai",7,"8%"
"du lịch trung quốc",90,"8%"
"tour du lịch miền tây 2 ngày 1 đêm",4,"8%"
"tour du lịch phú yên",12,"7%"
"đất việt tour",7,"7%"
"tour du lịch miền tây",34,"5%"
"tour du lịch quy nhơn",17,"5%"
"du lịch miền tây",33,"4%"
"tour miền tây",34,"4%"
"du lịch quy nhơn",17,"3%"
"tour du lịch singapore 3 ngày 2 đêm",3,"3%"
"du lịch đài loan",22,"3%"
"tour đài loan",22,"2%"
"tour du lịch đài loan",22,"2%"
"tour singapore",27,"1%"
"tour du lịch miền bắc",14,"0%"
