"query","search interest","increase percent"
"khách sạn đà nẵng",100,"-4%"
"khách sạn hà nội",100,"3%"
"khách sạn đà lạt",70,"-10%"
"khách sạn nha trang",65,"-9%"
"khách sạn vũng tàu",64,"-20%"
"khách sạn sài gòn",41,"-7%"
"khách sạn mường thanh",39,"-20%"
"khách sạn hạ long",38,"-7%"
"khách sạn 5 sao",37,"-8%"
"khách sạn huế",37,"8%"
"đặt khách sạn",36,"-5%"
"khách sạn phú quốc",28,"30%"
"khách sạn gần đây",25,"3%"
"khách sạn cần thơ",24,"-10%"
"khách sạn quận 1",24,"10%"
"khách sạn hải phòng",22,"10%"
"khách sạn quy nhơn",21,"-10%"
"đặt phòng khách sạn",20,"-9%"
"khách sạn sầm sơn",18,"-10%"
"quản trị khách sạn",18,"-30%"
"khách sạn ninh bình",17,"20%"
"khách sạn hội an",16,"3%"
"khách sạn sapa",15,"-20%"
"khách sạn ở hà nội",14,"-10%"
"khách sạn phan thiết",14,"-20%"
"khách sạn tphcm",13,"-20%"
"khách sạn quảng bình",13,"3%"
"khách sạn tình yêu",12,"-10%"
"khách sạn a25",12,"10%"
"khách sạn sheraton",11,"-6%"
"agoda",10,"3%"
"khách sạn royal",10,"50%"
"khách sạn ở đà nẵng",10,"6%"
"booking",10,"1%"
"booking khách sạn",10,"0%"
"khách sạn marriott",9,"6%"
"khách sạn cửa lò",9,"-40%"
"khách sạn công đoàn",9,"-10%"
"khách sạn mũi né",9,"-20%"
"khách sạn cát bà",8,"-10%"
"khách sạn gần nhất",8,"0%"
"khách sạn phú yên",8,"-10%"
"khách sạn melia",8,"0%"
"khách sạn pullman",8,"20%"
"khách sạn quận 3",8,"3%"
"khách sạn tân sơn nhất",7,"2%"
"khách sạn tây ninh",7,"-1%"
"khách sạn quận 10",7,"-1%"
"khách sạn ở huế",7,"2%"
"khách sạn vương giả",7,"-60%"
