"query","search interest","increase percent"
"đi du lịch",100,"7%"
"khu du lịch",97,"-4%"
"du lịch việt",54,"8%"
"tour du lịch",48,"9%"
"công ty du lịch",44,"30%"
"du lịch việt nam",41,"5%"
"địa điểm du lịch",37,"-2%"
"du lịch hà nội",32,"10%"
"du lịch là gì",29,"10%"
"xe du lịch",28,"10%"
"ngành du lịch",26,"-4%"
"du lịch biển",25,"4%"
"du lịch trung quốc",23,"10%"
"du lịch đà nẵng",21,"6%"
"du lịch sinh thái",21,"10%"
"đà lạt",14,"-4%"
"du lịch mỹ",14,"-10%"
"du lịch đà lạt",14,"-8%"
"khu du lịch sinh thái",13,"8%"
"du lịch pháp",12,"-20%"
"du lịch nha trang",12,"-9%"
"du lịch huế",12,"-7%"
"các địa điểm du lịch",11,"-5%"
"du lịch ninh bình",11,"20%"
"du lịch miền bắc",10,"-1%"
"phú quốc",10,"50%"
"hướng dẫn viên du lịch",10,"-5%"
"du lịch sài gòn",9,"-3%"
"du lịch phú quốc",9,"30%"
"du lịch hạ long",9,"10%"
"du lịch hàn quốc",9,"-8%"
"du lịch nhật bản",8,"20%"
"du lịch thái lan",7,"-30%"
"du lịch cần thơ",7,"-3%"
"du lịch vũng tàu",7,"-10%"
"luật du lịch",7,"10%"
"du lịch hải phòng",7,"20%"
"du lịch miền tây",6,"4%"
"du lịch sapa",6,"3%"
"sapa",6,"2%"
"du lịch quảng ninh",6,"10%"
"du lịch hà giang",6,"6%"
"du lịch quảng bình",6,"3%"
"du lịch cao bằng",6,"-5%"
"du lịch châu âu",5,"-1%"
"du lịch quy nhơn",5,"-10%"
"du lịch lào",4,"-3%"
"du lịch thái nguyên",4,"40%"
"du lịch hòa bình",4,"20%"
"khu du lịch đại nam",4,"-30%"
